"team","season","carries","rush_yards","rush_td","rush_fumble","qb_scramble","rush_20plus","rush_40plus","rush_longest","rush_stacked_box","yard_per_car","passing_yards","pass_td","ints","yac","sacks","completions","pass_20plus","pass_40plus","pass_longest","pass_against_blitz","pass_attempts","completion_pct","yds_per_att"
"ARI",2023,521,2434,19,4,34,12,1,56,73,4.7,3846,32,11,1524,33,347,49,10,63,94,506,0.686,7.6
"ATL",2023,499,2009,11,10,30,14,0,38,59,4,3707,24,8,1630,42,340,49,6,61,125,549,0.619,6.8
"BAL",2023,415,1860,6,4,38,10,3,63,78,4.5,3717,18,18,1809,60,384,46,6,71,148,634,0.606,5.9
"BUF",2023,409,1880,14,4,42,13,2,83,28,4.6,3676,18,18,1717,54,363,44,1,48,134,552,0.658,6.7
"CAR",2023,508,2081,25,5,13,12,3,62,99,4.1,3109,19,8,1436,27,309,39,9,75,157,481,0.642,6.5
"CHI",2023,388,1468,8,6,30,6,0,36,60,3.8,4245,31,22,2162,30,410,48,10,75,134,617,0.665,6.9
"CIN",2023,456,2145,17,6,46,17,1,41,72,4.7,4480,23,17,2000,44,364,65,11,86,144,555,0.656,8.1
"CLE",2023,420,1793,15,5,31,18,3,74,94,4.3,3149,23,18,1700,49,307,39,7,75,156,535,0.574,5.9
"DAL",2023,459,1910,14,9,37,9,2,45,120,4.2,3481,21,17,1773,46,308,47,7,73,175,509,0.605,6.8
"DEN",2023,469,2331,15,12,28,17,5,72,47,5,4302,29,11,2030,42,382,56,8,68,199,572,0.668,7.5
"DET",2023,408,1509,15,4,32,5,0,37,102,3.7,4562,28,16,1830,41,371,69,9,92,177,588,0.631,7.8
"GB",2023,493,2181,15,5,46,16,1,40,83,4.4,3803,21,7,1774,45,342,56,3,52,166,523,0.654,7.3
"HOU",2023,468,1643,19,5,36,5,1,49,67,3.5,4334,17,14,1968,46,382,60,15,75,120,565,0.676,7.7
"IND",2023,518,2105,22,8,29,11,1,69,68,4.1,4157,21,15,1906,51,370,54,8,75,94,568,0.651,7.3
"JAX",2023,421,1751,15,5,35,13,1,69,130,4.2,4355,27,16,2140,40,404,47,13,76,178,617,0.655,7.1
"KC",2023,432,1925,10,8,36,7,4,63,60,4.5,3352,19,8,1644,57,340,39,3,60,212,556,0.612,6
"LA",2023,433,1816,14,9,35,10,1,51,63,4.2,4195,24,10,1741,41,367,57,10,80,154,604,0.608,6.9
"LAC",2023,467,1924,18,9,23,11,1,75,63,4.1,4580,26,9,2295,48,389,61,14,70,181,598,0.651,7.7
"LV",2023,479,2015,15,6,41,10,1,51,57,4.2,3900,21,13,2326,46,376,43,11,79,127,564,0.667,6.9
"MIA",2023,433,1650,15,5,29,6,2,55,41,3.8,4132,27,15,1870,56,380,57,10,75,129,568,0.669,7.3
"MIN",2023,446,1678,14,7,27,2,1,43,118,3.8,4288,23,11,2314,43,426,51,7,70,277,606,0.703,7.1
"NE",2023,480,1584,14,12,27,6,3,50,76,3.3,3791,19,10,1805,36,370,48,6,51,180,575,0.643,6.6
"NO",2023,462,2038,10,4,41,11,3,48,79,4.4,3768,22,18,1881,34,333,48,9,71,149,558,0.597,6.8
"NYG",2023,475,2251,24,6,19,15,1,76,92,4.7,4157,21,18,2306,34,371,43,10,80,254,582,0.637,7.1
"NYJ",2023,517,2108,14,12,33,10,2,48,86,4.1,3182,19,17,1847,48,313,39,7,81,90,522,0.6,6.1
"PHI",2023,410,1758,13,6,38,8,0,29,38,4.3,4551,35,9,2084,43,425,56,6,69,157,652,0.652,7
"PIT",2023,454,1956,9,8,34,9,3,69,157,4.3,4164,23,16,1853,47,348,63,6,80,184,573,0.607,7.3
"SEA",2023,515,2352,24,4,30,18,4,72,64,4.6,4259,21,11,2092,47,390,57,10,54,125,585,0.667,7.3
"SF",2023,369,1525,10,4,36,10,2,49,35,4.1,3949,20,22,1954,48,410,45,5,60,138,621,0.66,6.4
"TB",2023,422,1610,11,8,23,5,0,29,137,3.8,4568,23,13,2162,48,404,65,9,76,225,611,0.661,7.5
"TEN",2023,480,1831,10,3,30,7,1,56,48,3.8,4181,20,6,1821,45,387,52,11,59,117,571,0.678,7.3
"WAS",2023,480,2155,15,7,26,14,1,64,82,4.5,4627,39,8,2217,39,396,60,12,78,158,598,0.662,7.7
